symbol,roa,ocf,roa_change,accruals,change_leverage,change_curr_ratio,change_shares,change_gross_margin,change_asset_turnover
APEN,0,0,1,0,0,0,1,0,1
APG,0,0,1,1,0,0,1,0,0
APH,1,1,0,1,0,1,0,0,0
API,0,0,0,0,0,0,0,0,1
APLE,1,1,0,1,0,0,0,0,0
APLS,0,0,0,0,0,0,0,1,0
APLT,0,0,1,0,0,0,0,1,0
APM,0,0,1,0,1,1,0,0,0
APO,1,1,1,1,0,0,0,0,1
APOG,1,1,1,1,0,0,1,1,0
APOP,0,0,0,0,0,1,0,1,0
APPF,1,1,1,1,0,0,0,0,0
APPN,0,0,1,0,0,1,0,1,0
APPS,0,1,1,1,1,1,0,1,1
APR,1,1,0,1,0,0,1,0,0
APRE,0,0,1,0,0,1,0,1,0
APRN,0,0,1,0,1,0,0,1,0
APSG,1,1,0,1,1,0,0,0,1
APT,1,1,0,1,0,0,1,0,0
APTM,0,0,0,0,0,0,0,0,0
APTO,0,0,1,0,0,1,0,1,0
APTS,0,1,0,1,0,0,0,0,0
APTV,1,1,0,1,0,1,1,0,0
APTX,0,0,0,0,0,0,0,0,0
APVO,0,0,1,0,0,0,0,0,1
APWC,0,0,0,0,1,1,1,0,0
APYX,0,0,0,0,0,0,0,1,1
AQB,0,0,1,0,0,0,0,0,1
AQMS,0,0,0,0,1,1,0,1,1
AQN,1,1,1,1,0,0,0,1,0
AQST,0,0,0,0,0,1,0,0,0
AQUA,0,1,0,1,0,0,1,0,0
AR,0,0,1,0,0,0,1,0,1
ARAV,0,0,1,0,0,0,0,0,1
ARAY,0,1,1,1,0,1,0,0,1
ARC,1,1,0,1,0,0,1,1,0
ARCB,1,1,0,1,0,1,1,0,0
ARCC,1,1,0,1,0,0,0,1,0
ARCE,0,1,1,1,0,0,0,1,0
ARCH,1,1,0,1,1,0,1,0,0
ARCO,1,1,1,1,0,0,1,0,0
ARCT,0,0,1,0,0,1,0,0,0
ARDS,0,0,0,0,0,0,0,0,0
ARDX,0,0,0,0,0,1,0,1,1
ARE,1,1,0,1,0,0,0,0,0
AREC,0,0,1,0,0,1,0,1,1
ARES,1,1,1,1,0,0,0,0,1
ARGO,0,1,0,1,0,0,0,0,0
ARGX,0,0,0,0,0,0,0,0,1
ARI,1,1,0,1,0,0,0,0,0
ARKR,1,1,0,1,0,1,0,1,0
ARL,0,0,0,0,0,0,1,0,0
ARLO,0,0,0,0,0,0,0,0,0
ARLP,1,1,0,1,0,1,1,0,0
ARMK,1,1,0,1,1,0,0,0,1
ARMP,0,0,1,0,0,0,0,1,0
ARNA,1,1,1,1,1,1,0,0,1
ARNC,1,1,1,1,1,0,1,0,1
AROC,1,1,1,1,0,0,0,1,0
AROW,1,1,0,1,1,0,0,0,0
ARQT,0,0,1,0,0,1,0,1,0
ARR,0,0,0,0,0,0,0,0,0
ARRY,0,0,1,0,1,1,0,0,0
ARTL,0,0,1,0,0,1,0,1,0
ARTNA,1,1,0,1,0,1,0,1,0
ARTW,0,0,1,0,1,1,0,0,1
ARVN,0,0,1,0,0,1,0,0,1
ARW,0,1,0,1,1,0,1,0,1
ARWR,1,1,1,1,1,0,0,0,1
ASAI,1,1,1,1,1,1,1,0,0
ASB,1,1,0,1,1,0,1,0,0
ASC,0,1,1,1,1,1,1,1,1
ASGN,1,1,0,1,0,1,0,0,1
ASH,1,1,1,1,1,1,1,1,0
ASIX,1,1,0,1,0,0,1,0,0
ASLN,0,0,0,0,0,1,0,1,1
ASM,0,0,0,0,1,1,0,0,1
ASMB,0,0,1,0,0,0,0,0,0
ASML,1,1,0,1,0,0,0,0,0
ASND,0,0,1,0,0,1,0,0,0
ASPN,0,0,1,0,0,0,0,1,1
ASPS,0,1,0,1,1,1,1,0,0
ASPU,0,0,1,0,0,1,0,0,1
ASR,1,1,1,1,1,1,1,0,1
ASRT,0,0,0,0,1,0,0,1,0
ASRV,1,1,0,1,1,0,1,0,0
ASTC,0,0,0,0,0,0,0,0,1
ASTE,1,1,1,1,1,0,0,1,1
ASUR,1,0,1,0,1,1,0,0,0
ASX,1,1,0,1,0,1,0,0,0
ASYS,0,1,0,1,1,1,0,1,0
ATAI,1,0,1,0,1,1,1,0,0
ATAX,1,1,0,1,0,0,0,0,0
ATCO,1,1,1,1,0,0,0,0,0
ATCX,0,0,1,0,0,0,0,1,0
ATEC,0,0,0,0,0,1,0,0,1
ATEN,0,0,1,0,0,1,0,0,0
ATEX,0,0,0,0,0,0,0,1,1
ATGE,1,1,1,1,0,0,1,1,1
ATH,1,1,1,1,0,0,1,0,1
ATHE,0,0,0,0,0,0,1,1,0
ATHM,1,1,0,1,0,1,0,0,0
ATHN,1,1,1,1,1,1,0,1,1
ATHX,0,0,0,0,0,0,0,0,0
ATI,1,1,1,1,1,1,0,0,0
ATIF,1,1,1,1,0,1,1,0,0
ATKR,1,1,0,1,1,1,1,1,0
ATLC,1,1,1,1,0,0,1,0,1
ATLO,1,1,0,1,1,0,1,0,0
ATNI,0,1,0,1,0,0,1,0,0
ATNM,0,0,1,0,0,0,0,1,0
ATNX,0,0,1,0,0,0,0,0,0
ATO,1,1,0,1,0,1,0,1,0
ATOM,0,0,1,0,0,0,0,1,1
ATOS,0,0,1,0,0,1,0,1,0
ATR,1,1,1,1,0,0,0,1,0
ATRA,0,0,0,0,0,0,0,1,0
ATRC,0,0,0,0,0,0,0,1,0
ATRI,1,1,0,1,0,0,0,0,0
ATRO,1,0,1,0,1,0,1,0,0
ATRS,0,1,1,1,0,1,0,1,1
ATSG,1,1,0,1,0,0,0,0,1
ATTO,0,1,0,1,0,0,0,0,0
ATUS,1,1,1,1,0,1,1,0,1
ATVI,1,1,0,1,0,1,0,1,0
ATXI,0,0,1,0,0,1,0,1,0
AU,0,1,0,1,0,0,0,1,0
AUB,1,1,0,1,1,0,1,0,0
AUBN,1,1,1,1,1,0,1,0,1
AUDC,1,0,0,0,0,0,0,0,0
AUMN,0,0,0,0,0,0,0,1,1
AUPH,0,0,0,0,0,1,0,0,0
AUTL,0,0,0,0,0,0,0,0,1
AUTO,0,0,1,0,0,0,0,1,1
AUY,1,1,1,1,1,1,0,1,0
AVA,1,1,1,1,0,1,0,1,0
AVAL,1,1,0,1,0,0,0,0,0
AVAV,1,1,1,1,0,1,0,1,1
AVB,1,1,0,1,0,0,0,1,0
AVCO,0,0,0,0,0,0,0,0,1
AVCT,1,0,1,0,0,0,1,1,0
AVD,1,1,0,1,0,1,1,0,0
AVDL,0,0,1,0,0,0,0,0,0
AVEO,1,0,1,0,1,1,0,0,1
AVGO,1,1,0,1,0,0,1,1,0
AVGR,0,0,1,0,0,0,0,1,0
AVID,1,1,1,1,0,0,0,1,0
AVLR,0,0,1,0,0,1,0,0,0
AVNS,0,0,0,0,0,0,0,0,1
AVNT,0,0,0,0,0,0,0,0,1
AVNW,1,1,1,1,0,1,1,0,0
AVRO,0,0,1,0,0,1,0,1,0
AVT,1,1,1,1,0,1,1,0,1
AVTR,0,1,1,1,1,1,0,1,0
AVXL,0,0,0,0,0,0,0,1,0
AVY,1,1,0,1,1,0,1,1,0
AVYA,0,0,0,0,1,1,0,0,0
AWH,1,1,1,1,1,0,1,1,0
AWI,1,1,1,1,1,1,1,1,1
AWK,1,1,0,1,0,1,0,1,0
AWR,1,1,1,1,0,1,0,0,0
AWRE,0,0,0,0,0,1,1,0,0
AWX,0,1,1,1,0,0,1,0,0
AX,1,1,0,1,0,0,1,0,0
AXDX,0,0,0,0,0,0,0,1,1
AXGN,0,0,0,0,0,0,0,0,1
AXL,0,0,0,0,1,1,0,0,0
AXLA,0,0,1,0,0,0,0,1,0
AXNX,0,0,1,0,0,0,0,1,0
AXP,1,1,0,1,0,0,1,0,1
AXR,1,0,1,0,1,0,0,0,0
AXS,1,1,1,1,0,0,0,1,0
AXSM,0,0,1,0,0,1,0,1,0
AXTA,1,1,1,1,1,1,0,1,0
AXTI,0,0,0,0,0,0,0,0,0
AXU,0,0,1,0,0,1,0,0,1
AY,1,1,1,1,1,0,0,1,1
AYI,1,1,0,1,1,1,1,0,0
AYTU,0,0,0,0,0,1,0,1,1
AYX,1,1,0,1,0,1,0,0,0
AZN,1,1,0,1,1,0,0,1,1
AZO,1,1,1,1,0,0,1,1,1
AZPN,1,1,0,1,0,1,1,1,0
AZRE,1,1,1,1,0,0,0,1,0
AZUL,0,0,0,0,0,0,1,1,0
AZZ,1,1,0,1,1,0,0,1,1
B,1,1,0,1,1,0,1,1,0
BA,0,0,0,0,0,0,1,0,0
BABA,1,1,0,1,0,0,0,0,0
BAC,1,1,0,1,1,0,1,0,0
BAH,1,1,1,1,1,1,1,1,1
BAK,1,1,0,1,0,0,1,0,1
BAM,1,1,0,1,0,0,0,1,0
BANC,0,1,0,1,1,0,0,0,0
BAND,1,0,0,0,0,1,0,0,0
BANF,1,1,0,1,1,0,0,0,1
BANR,1,1,0,1,1,0,0,0,0
BAP,1,1,0,1,1,0,1,0,0
BAX,1,1,0,1,0,1,1,0,0
BB,0,0,0,0,0,0,0,0,1
BBBY,0,0,0,0,0,0,1,0,0
BBCP,0,1,1,1,0,1,0,1,1
BBD,1,0,1,0,0,0,0,0,0
BBDC,1,1,1,1,0,0,1,0,0
BBGI,1,1,1,1,0,0,0,0,0
BBI,0,0,0,0,0,0,0,1,1
BBIO,0,0,1,0,0,0,0,1,0
BBQ,0,0,0,0,0,0,0,0,0
BBSI,1,1,1,1,0,1,0,1,0
BBU,1,1,0,1,0,1,0,1,0
BBW,1,1,1,1,0,0,0,1,0
BBY,1,1,0,1,0,0,1,0,0
BC,0,1,0,1,1,1,1,1,0
BCAC,1,0,1,0,0,0,1,1,0
BCBP,1,1,1,1,0,0,0,0,0
BCC,1,1,1,1,0,0,0,1,0
BCDA,0,0,0,0,0,0,0,1,1
BCE,1,1,1,1,0,1,0,1,0
BCEI,1,1,0,1,0,0,0,1,0
BCEL,0,0,1,0,1,0,0,1,0
BCH,1,1,0,1,0,0,1,0,0
BCLI,0,0,0,0,0,0,1,1,0
BCML,1,1,0,1,0,0,0,0,1
BCO,1,1,1,1,0,0,0,1,0
BCOR,1,1,0,1,0,0,1,0,1
BCOV,0,0,0,0,0,0,0,0,0
BCOW,1,1,1,1,1,0,1,0,0
