roa,ocf,roa_change,accruals,change_leverage,change_curr_ratio,change_shares,change_gross_margin,change_asset_turnover,price_change
,3620732000.0,,,0.0,0.0,0.0,0.0,,
,3620732000.0,,,0.0,0.0,0.0,0.0,,
0.044,1443685000.0,0.033,1443684999.956,868795000.0,0.023,-6148558.0,-0.0029999999999999,0.0270000000000001,-0.0119275346011027
0.011,1060342000.0,-0.033,1060341999.989,-687703000.0,0.002,-2018155.0,0.0009999999999999,-0.1299999999999999,0.1184243644601058
0.044,1525774000.0,0.0489999999999999,1525773999.956,988345000.0,0.008,14467263.0,0.003,-0.524,0.0133911490881264
-0.005,417370000.0,-0.018,417370000.005,1497416000.0,-0.0779999999999999,-13058926.0,0.0009999999999999,-0.726,-0.2039593908629442
0.013,778884000.0,-0.013,778883999.987,599026000.0,0.006,-11340225.0,-0.004,0.5669999999999993,0.0905668733392383
0.026,898399000.0,-0.02,898398999.974,-50164000.0,-0.012,-5443618.0,-0.005,0.181,0.2791389321625831
0.046,1252728000.0,-0.002,1252727999.954,81818000.0,-0.0529999999999999,-22867757.0,0.002,-0.4089999999999998,0.7130033964095099
0.048,1202745000.0,0.002,1202744999.952,21372000.0,-0.052,-18004292.0,0.002,-0.1150000000000002,0.1253071253071252
0.046,1100263000.0,0.0069999999999999,1100262999.954,165579000.0,0.0349999999999999,-11737060.0,0.0009999999999999,0.0040000000000004,0.1835218093699516
0.039,882381000.0,0.019,882380999.961,-11130000.0,-0.0109999999999998,-24352737.0,0.0,-0.1020000000000003,0.2389911929543634
0.011,211584000.0,-0.001,211583999.989,1285559000.0,,21837799.0,0.0,0.0039999999999999,0.3044315992292869
0.012,151490000.0,0.002,151489999.988,-105397000.0,,9258441.0,0.0,-0.0049999999999999,-0.4920479569366283
0.01,124282000.0,-0.0009999999999999,124281999.99,-263312000.0,,3121717.0,0.0,-0.003,-0.2288679245283019
0.011,105246000.0,0.0029999999999999,105245999.989,457595000.0,,2907407.0,0.0,-0.0009999999999999,0.0827374872318691
0.008,56744000.0,-0.002,56743999.992,-45057000.0,,5609.0,0.0,-0.002,0.8136346795109302
0.01,56205000.0,0.004,56204999.99,-116038000.0,,7038274.0,0.0,0.0029999999999999,0.0231235784685367
0.006,29303000.0,0.002,29302999.994,241165000.0,,1285717.0,0.0,0.003,0.1140202702702702
0.004,21720000.0,-0.002,21719999.996,-7545000.0,,130491.0,0.0,0.002,0.6938483547925607
0.006,31649000.0,0.009,31648999.994,-54014000.0,,-14750.0,0.0,0.0159999999999999,0.2010309278350515
-0.003,-7184000.0,0.016,-7183999.997,54425000.0,,9945227.0,0.0,-0.0099999999999999,0.2422625400213448
0.009,26389000.0,0.0009999999999999,26388999.991,72123000.0,,-1575526.0,0.0,-0.002,0.4703248115186215
0.008,24969000.0,,24968999.992,291114000.0,,3330634.0,0.0,,-0.0953333333333334
-0.335,-58166000.0,-0.106,-58165999.665,0.0,-20.709000000000003,722754.0,0.0,0.011,-0.8207663782447466
-0.229,-27836000.0,0.031,-27835999.771,0.0,16.706000000000003,6971858.0,0.0,-0.0039999999999999,-0.4729641693811074
-0.26,-23881000.0,-0.036,-23880999.74,0.0,-19.098,7512069.0,0.0,-0.005,2.07
-0.224,-18546000.0,,-18545999.776,-400000.0,23.479,12754212.0,0.0,,0.8796992481203006
0.122,17075800000.0,0.036,17075799999.878,-132100000.0,0.158,10897626.0,-0.007,-0.006,-0.4742990654205608
0.086,16535500000.0,-0.0579999999999999,16535499999.914,-2841500000.0,0.032,9118454.0,-0.011,0.037,-0.4030683403068339
0.144,15971100000.0,-0.009,15971099999.856,1794300000.0,-0.1089999999999999,16008489.0,-0.022,-0.0519999999999999,0.2965641952983724
